MiniDOT Logger Concatenated Data File
Sensor:             7392-080779
Concatenation Date: 2018Apr22 17:19:16 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 249.02 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1517347440,           2018-01-30 21:24:00,           2018-01-30 15:24:00,      3.510000,     21.979000,          8.308000,                    97.915184,      0.989000
                1517348040,           2018-01-30 21:34:00,           2018-01-30 15:34:00,      3.510000,     21.352000,          8.438000,                    98.244553,      0.991000
                1517348640,           2018-01-30 21:44:00,           2018-01-30 15:44:00,      3.510000,     21.009000,          8.476000,                    98.027390,      0.994000
                1517349240,           2018-01-30 21:54:00,           2018-01-30 15:54:00,      3.520000,     20.332000,          8.557000,                    97.652625,      0.993000
                1517349840,           2018-01-30 22:04:00,           2018-01-30 16:04:00,      3.510000,     19.226000,          8.719000,                    97.326213,      0.991000
                1517350440,           2018-01-30 22:14:00,           2018-01-30 16:14:00,      3.510000,     18.150000,          8.917000,                    97.382008,      0.991000
                1517351040,           2018-01-30 22:24:00,           2018-01-30 16:24:00,      3.510000,     17.178000,          9.106000,                    97.467237,      0.992000
                1517351640,           2018-01-30 22:34:00,           2018-01-30 16:34:00,      3.510000,     16.295000,          9.293000,                    97.641569,      0.992000
                1517352240,           2018-01-30 22:44:00,           2018-01-30 16:44:00,      3.510000,     15.552000,          9.467000,                    97.909055,      0.992000
                1517352840,           2018-01-30 22:54:00,           2018-01-30 16:54:00,      3.510000,     14.545000,          9.641000,                    97.562918,      0.992000
                1517353440,           2018-01-30 23:04:00,           2018-01-30 17:04:00,      3.510000,      5.824000,         14.130000,                   116.437746,      0.982000
                1517354040,           2018-01-30 23:14:00,           2018-01-30 17:14:00,      3.500000,      4.338000,         14.711000,                   116.664060,      0.992000
                1517354640,           2018-01-30 23:24:00,           2018-01-30 17:24:00,      3.500000,      3.942000,         14.707000,                   115.425641,      0.995000
                1517355240,           2018-01-30 23:34:00,           2018-01-30 17:34:00,      3.500000,      3.819000,         14.641000,                   114.535273,      0.995000
                1517355840,           2018-01-30 23:44:00,           2018-01-30 17:44:00,      3.500000,      3.645000,         14.539000,                   113.214837,      0.995000
                1517356440,           2018-01-30 23:54:00,           2018-01-30 17:54:00,      3.490000,      3.584000,         14.521000,                   112.891893,      0.995000
                1517357040,           2018-01-31 00:04:00,           2018-01-30 18:04:00,      3.490000,      3.594000,         14.524000,                   112.945180,      0.995000
                1517357640,           2018-01-31 00:14:00,           2018-01-30 18:14:00,      3.490000,      3.501000,         14.320000,                   111.084124,      0.995000
                1517358240,           2018-01-31 00:24:00,           2018-01-30 18:24:00,      3.490000,      3.368000,         14.228000,                   109.980537,      0.995000
                1517358840,           2018-01-31 00:34:00,           2018-01-30 18:34:00,      3.490000,      3.264000,         14.196000,                   109.429257,      0.995000
                1517359440,           2018-01-31 00:44:00,           2018-01-30 18:44:00,      3.490000,      3.181000,         14.132000,                   108.694636,      0.996000
                1517360040,           2018-01-31 00:54:00,           2018-01-30 18:54:00,      3.490000,      3.119000,         14.117000,                   108.399329,      0.995000
                1517360640,           2018-01-31 01:04:00,           2018-01-30 19:04:00,      3.490000,      3.047000,         14.058000,                   107.738317,      0.996000
                1517361240,           2018-01-31 01:14:00,           2018-01-30 19:14:00,      3.480000,      2.943000,         13.933000,                   106.482817,      0.995000
                1517361840,           2018-01-31 01:24:00,           2018-01-30 19:24:00,      3.480000,      2.901000,         13.907000,                   106.164257,      0.996000
                1517362440,           2018-01-31 01:34:00,           2018-01-30 19:34:00,      3.480000,      2.765000,         13.736000,                   104.475811,      0.994000
                1517363040,           2018-01-31 01:44:00,           2018-01-30 19:44:00,      3.480000,      2.703000,         13.693000,                   103.974815,      0.995000
